abu,6
abu dhabi,2
abudhabi,12
ayr,1
berlin,5
boston,5
cali,1
deer,1
del,1
delhi,5
dera,1
detroit,1
dhabi,3
dubai,100
fes,1
goa,1
istanbul,1
jinghong,1
london,8
miami,2
montreal,3
moscow,3
mumbai,59
new,15
new york,9
newport,6
newyork,3
paris,8
porto,1
price,3
rio,1
surat,4
tokyo,36
toronto,42
vancouver,2
west,1
